variable_name,description,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/After defecation ,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/After cleaning or changing a baby,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Before food preparation,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/ Before eating,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Before feeding child,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Before praying,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/After working in the dirt,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Other (please specify) ,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Decline to state ,,,
C20. When do you personally wash your hands?  [Do not read options to respondent. Probe to ask “Are there any other times that you wash your hands?” until they finish. Mark all that apply]/Don't Know,,,
Please specify others. ,,,
ff,,,
C21 Can you please show me where and how you usually wash your hands?,,,
"C21.1  Does the respondent use soap, ash, or another cleanser?",,,
C21.2 Does respondent use water to wash their hands?,,,
C22. Are you a member of any WASH related group?,,,
"C22.1 If yes, which group?",,,
"C22.1 If yes, which group?/Water User Group",,,
"C22.1 If yes, which group?/Water User Committee",,,
"C22.1 If yes, which group?/Health Village Group",,,
"C22.1 If yes, which group?/School brigade cabinet",,,
"C22.1 If yes, which group?/CBO/CSO",,,
"C22.1 If yes, which group?/Others (specify)",,,
Others (specify),,,
"C23. In last year, did you participate in any group meetings for WASH-related consultation and decision-making processes? ",,,
"C23.1  If yes, what was it for?",,,
C24. Do you know someone who can quickly repair [specify the water source] if required?,,,
C24.1  Is the repairer usually able to secure all the spare parts required for the repair?,,,
"C24.2 If the [specify the water source] needs only smaller repair, are you able to pay its costs?",,,
"C24.3 If the [specify the water source] needs more expensive repair, are you able to ensure it either by using your own money or by ensuring that relevant authorities conduct the repair? ",,,
D1  Type of follow-up monitoring,,,
"D2 In the last 4 weeks, how frequently did you worry you would not have enough water for all of your household needs?",,,
"D3 In the last 4 weeks, how frequently did you feel angry or frustrated about your water situation?",,,
"D4 In the last 4 weeks, how frequently has your household water supply from your main water source been interrupted or limited (e.g. water pressure, less water than expected, source dried up)?",,,
"D5 In the last 4 weeks, how frequently has there not been enough water in the household to wash clothes?",,,
"D6 In the last 4 weeks, how frequently has you or anyone in your household had to change schedules/plans due to problems with your water situation, such as problems getting or distributing water within the household? Activities that may have been interrupted include caring for others, doing household chores, agricultural work, income-generating activities, etc.",,,
"D7 In the last 4 weeks, how frequently have you or anyone in your household had to change what was being eaten because there were problems with water (e.g. for washing foods, cooking, etc.)?",,,
"D8 In the last 4 weeks, how frequently have you or anyone in your household had to go without washing hands after dirty activities (e.g. defecating, changing diapers, cleaning animal dung) because of problems with water?",,,
"D9 In the last 4 weeks, how frequently have you or anyone in your household had to go without washing their body because of problems with water (e.g. not enough water, dirty, unsafe)?",,,
"D10 In the last 4 weeks, how frequently has there not been as much water to drink as you would like for you or members of your household?",,,
"D11 In the last 4 weeks, how frequently have you or anyone in your household gone to sleep thirsty because there wasn't any water to drink?",,,
"D12 In the last 4 weeks, how frequently have you had no useable or drinkable water whatsoever in your household?",,,
"D13 In the last 4 weeks, how frequently have problems with water caused you or anyone in your household to feel ashamed/excluded/stigmatized?",,,
